A B
0.386 0.205
0.365 0.205
0.347 0.207
0.332 0.212
0.319 0.220
0.309 0.231
0.301 0.244
0.296 0.259
0.294 0.276
0.295 0.295
0.298 0.316
0.304 0.339
0.313 0.363
0.325 0.388
0.339 0.415
0.355 0.442
0.374 0.469
0.396 0.497
0.419 0.525
0.445 0.553
0.473 0.581
0.503 0.607
0.534 0.634
0.567 0.659
0.601 0.683
0.637 0.705
0.673 0.726
0.711 0.745
0.749 0.762
0.788 0.776
0.827 0.788
0.866 0.798
0.905 0.805
0.943 0.809
0.981 0.809
1.019 0.807
1.055 0.802
1.090 0.793
1.124 0.781
1.157 0.765
1.187 0.746
1.216 0.723
1.243 0.696
1.267 0.666
1.289 0.633
1.308 0.596
1.324 0.556
1.338 0.512
1.349 0.465
1.356 0.414
1.360 0.361
1.361 0.305
1.358 0.246
1.352 0.184
1.342 0.120
1.329 0.053
1.311 -0.015
1.291 -0.086
1.266 -0.158
1.238 -0.231
1.206 -0.306
1.171 -0.382
1.132 -0.458
1.089 -0.535
1.043 -0.612
0.994 -0.689
0.941 -0.765
0.885 -0.841
0.827 -0.916
0.765 -0.990
0.700 -1.062
0.634 -1.133
0.564 -1.202
0.493 -1.268
0.419 -1.332
0.344 -1.393
0.267 -1.452
0.189 -1.507
0.109 -1.559
0.029 -1.607
-0.053 -1.652
-0.134 -1.693
-0.216 -1.729
-0.298 -1.761
-0.380 -1.789
-0.461 -1.812
-0.541 -1.831
-0.621 -1.845
-0.699 -1.854
-0.776 -1.859
-0.851 -1.858
-0.924 -1.853
-0.995 -1.843
-1.064 -1.827
-1.130 -1.807
-1.193 -1.783
-1.254 -1.753
-1.311 -1.719
-1.365 -1.681
-1.415 -1.638
-1.462 -1.590
-1.505 -1.539
-1.545 -1.484
-1.580 -1.424
-1.611 -1.362
-1.638 -1.296
-1.660 -1.227
-1.679 -1.155
-1.693 -1.080
-1.702 -1.003
-1.707 -0.924
-1.708 -0.843
-1.704 -0.760
-1.696 -0.676
-1.683 -0.591
-1.666 -0.506
-1.645 -0.420
-1.620 -0.334
-1.591 -0.248
-1.558 -0.162
-1.521 -0.077
-1.481 0.006
-1.436 0.089
-1.389 0.170
-1.338 0.249
-1.285 0.326
-1.229 0.400
-1.170 0.472
-1.108 0.541
-1.045 0.607
-0.979 0.670
-0.912 0.729
-0.843 0.784
-0.774 0.836
-0.703 0.883
-0.631 0.927
-0.559 0.966
-0.486 1.001
-0.414 1.032
-0.342 1.058
-0.270 1.079
-0.199 1.096
-0.129 1.108
-0.061 1.116
0.007 1.119
0.073 1.118
0.136 1.112
0.198 1.102
0.258 1.087
0.315 1.068
0.369 1.046
0.421 1.019
0.469 0.988
0.515 0.954
0.557 0.917
0.596 0.876
0.631 0.832
0.663 0.785
0.691 0.736
0.716 0.684
0.736 0.630
0.753 0.575
0.766 0.518
0.775 0.459
0.780 0.400
0.782 0.339
0.779 0.278
0.773 0.217
0.763 0.156
0.750 0.095
0.733 0.035
0.712 -0.024
0.688 -0.083
0.661 -0.140
0.631 -0.195
0.598 -0.249
0.562 -0.300
0.524 -0.350
0.483 -0.396
0.440 -0.440
0.394 -0.482
0.347 -0.520
0.299 -0.555
0.249 -0.587
0.197 -0.615
0.145 -0.640
0.092 -0.661
0.038 -0.678
-0.016 -0.691
-0.070 -0.701
-0.124 -0.707
-0.177 -0.709
-0.230 -0.706
-0.283 -0.700
-0.334 -0.691
-0.384 -0.677
-0.432 -0.660
-0.479 -0.639
-0.524 -0.614
-0.567 -0.586
-0.608 -0.555
-0.647 -0.521
-0.683 -0.484
-0.716 -0.444
-0.747 -0.401
-0.775 -0.356
-0.800 -0.308
-0.821 -0.259
-0.839 -0.208
-0.855 -0.155
-0.866 -0.101
-0.875 -0.046
-0.880 0.010
-0.881 0.066
-0.879 0.123
-0.874 0.180
-0.865 0.237
-0.853 0.293
-0.837 0.349
-0.818 0.404
-0.796 0.458
-0.771 0.510
-0.743 0.560
-0.712 0.609
-0.678 0.656
-0.641 0.700
-0.602 0.742
-0.560 0.782
-0.517 0.818
-0.471 0.852
-0.424 0.882
-0.374 0.909
-0.324 0.933
-0.272 0.953
-0.219 0.970
-0.165 0.983
-0.110 0.992
-0.055 0.998
0.000 1.000
0.055 0.998
0.110 0.992
0.165 0.983
0.219 0.970
0.272 0.953
0.324 0.933
0.374 0.909
0.424 0.882
0.471 0.852
0.517 0.818
0.560 0.782
0.602 0.742
0.641 0.700
0.678 0.656
0.712 0.609
0.743 0.560
0.771 0.510
0.796 0.458
0.818 0.404
0.837 0.349
0.853 0.293
0.865 0.237
0.874 0.180
0.879 0.123
0.881 0.066
0.880 0.010
0.875 -0.046
0.866 -0.101
0.855 -0.155
0.839 -0.208
0.821 -0.259
0.800 -0.308
0.775 -0.356
0.747 -0.401
0.716 -0.444
0.683 -0.484
0.647 -0.521
0.608 -0.555
0.567 -0.586
0.524 -0.614
0.479 -0.639
0.432 -0.660
0.384 -0.677
0.334 -0.691
0.283 -0.700
0.230 -0.706
0.177 -0.709
0.124 -0.707
0.070 -0.701
0.016 -0.691
-0.038 -0.678
-0.092 -0.661
-0.145 -0.640
-0.197 -0.615
-0.249 -0.587
-0.299 -0.555
-0.347 -0.520
-0.394 -0.482
-0.440 -0.440
-0.483 -0.396
-0.524 -0.350
-0.562 -0.300
-0.598 -0.249
-0.631 -0.195
-0.661 -0.140
-0.688 -0.083
-0.712 -0.024
-0.733 0.035
-0.750 0.095
-0.763 0.156
-0.773 0.217
-0.779 0.278
-0.782 0.339
-0.780 0.400
-0.775 0.459
-0.766 0.518
-0.753 0.575
-0.736 0.630
-0.716 0.684
-0.691 0.736
-0.663 0.785
-0.631 0.832
-0.596 0.876
-0.557 0.917
-0.515 0.954
-0.469 0.988
-0.421 1.019
-0.369 1.046
-0.315 1.068
-0.258 1.087
-0.198 1.102
-0.136 1.112
-0.073 1.118
-0.007 1.119
0.061 1.116
0.129 1.108
0.199 1.096
0.270 1.079
0.342 1.058
0.414 1.032
0.486 1.001
0.559 0.966
0.631 0.927
0.703 0.883
0.774 0.836
0.843 0.784
0.912 0.729
0.979 0.670
1.045 0.607
1.108 0.541
1.170 0.472
1.229 0.400
1.285 0.326
1.338 0.249
1.389 0.170
1.436 0.089
1.481 0.006
1.521 -0.077
1.558 -0.162
1.591 -0.248
1.620 -0.334
1.645 -0.420
1.666 -0.506
1.683 -0.591
1.696 -0.676
1.704 -0.760
1.708 -0.843
1.707 -0.924
1.702 -1.003
1.693 -1.080
1.679 -1.155
1.660 -1.227
1.638 -1.296
1.611 -1.362
1.580 -1.424
1.545 -1.484
1.505 -1.539
1.462 -1.590
1.415 -1.638
1.365 -1.681
1.311 -1.719
1.254 -1.753
1.193 -1.783
1.130 -1.807
1.064 -1.827
0.995 -1.843
0.924 -1.853
0.851 -1.858
0.776 -1.859
0.699 -1.854
0.621 -1.845
0.541 -1.831
0.461 -1.812
0.380 -1.789
0.298 -1.761
0.216 -1.729
0.134 -1.693
0.053 -1.652
-0.029 -1.607
-0.109 -1.559
-0.189 -1.507
-0.267 -1.452
-0.344 -1.393
-0.419 -1.332
-0.493 -1.268
-0.564 -1.202
-0.634 -1.133
-0.700 -1.062
-0.765 -0.990
-0.827 -0.916
-0.885 -0.841
-0.941 -0.765
-0.994 -0.689
-1.043 -0.612
-1.089 -0.535
-1.132 -0.458
-1.171 -0.382
-1.206 -0.306
-1.238 -0.231
-1.266 -0.158
-1.291 -0.086
-1.311 -0.015
-1.329 0.053
-1.342 0.120
-1.352 0.184
-1.358 0.246
-1.361 0.305
-1.360 0.361
-1.356 0.414
-1.349 0.465
-1.338 0.512
-1.324 0.556
-1.308 0.596
-1.289 0.633
-1.267 0.666
-1.243 0.696
-1.216 0.723
-1.187 0.746
-1.157 0.765
-1.124 0.781
-1.090 0.793
-1.055 0.802
-1.019 0.807
-0.981 0.809
-0.943 0.809
-0.905 0.805
-0.866 0.798
-0.827 0.788
-0.788 0.776
-0.749 0.762
-0.711 0.745
-0.673 0.726
-0.637 0.705
-0.601 0.683
-0.567 0.659
-0.534 0.634
-0.503 0.607
-0.473 0.581
-0.445 0.553
-0.419 0.525
-0.396 0.497
-0.374 0.469
-0.355 0.442
-0.339 0.415
-0.325 0.388
-0.313 0.363
-0.304 0.339
-0.298 0.316
-0.295 0.295
-0.294 0.276
-0.296 0.259
-0.301 0.244
-0.309 0.231
-0.319 0.220
-0.332 0.212
-0.347 0.207
-0.365 0.205
-0.386 0.205
-0.408 0.208
-0.433 0.214
-0.460 0.224
-0.489 0.236
-0.519 0.252
-0.552 0.270
-0.585 0.292
-0.620 0.316
-0.657 0.344
-0.694 0.374
-0.732 0.407
-0.770 0.443
-0.809 0.481
-0.848 0.522
-0.886 0.565
-0.925 0.611
-0.963 0.658
-1.000 0.707
-1.036 0.758
-1.071 0.810
-1.105 0.863
-1.137 0.917
-1.168 0.972
-1.196 1.027
-1.222 1.083
-1.246 1.138
-1.268 1.194
-1.286 1.248
-1.302 1.302
-1.314 1.355
-1.324 1.406
-1.329 1.456
-1.332 1.504
-1.331 1.550
-1.326 1.593
-1.317 1.634
-1.304 1.672
-1.288 1.707
-1.267 1.739
-1.242 1.767
-1.214 1.791
-1.181 1.812
-1.144 1.828
-1.102 1.840
-1.057 1.848
-1.008 1.851
-0.955 1.849
-0.898 1.843
-0.837 1.832
-0.772 1.816
-0.704 1.795
-0.633 1.769
-0.558 1.738
-0.480 1.701
-0.399 1.660
-0.315 1.614
-0.229 1.563
-0.140 1.507
-0.049 1.446
0.044 1.381
0.139 1.311
0.235 1.236
0.333 1.158
0.431 1.075
0.531 0.989
0.631 0.898
0.731 0.805
0.831 0.708
0.931 0.608
1.031 0.506
1.129 0.401
1.227 0.293
1.323 0.184
1.418 0.074
1.511 -0.038
1.602 -0.151
1.690 -0.265
1.776 -0.379
1.859 -0.492
1.939 -0.606
2.016 -0.719
2.090 -0.831
2.160 -0.942
2.226 -1.052
2.288 -1.159
2.346 -1.265
2.399 -1.368
2.449 -1.468
2.493 -1.566
2.533 -1.660
2.569 -1.750
2.599 -1.837
2.625 -1.920
2.645 -1.999
2.661 -2.073
2.671 -2.143
2.677 -2.208
2.678 -2.268
2.673 -2.323
2.664 -2.372
2.650 -2.417
2.631 -2.456
2.607 -2.490
2.579 -2.518
2.546 -2.541
2.508 -2.558
2.467 -2.570
2.421 -2.576
2.372 -2.577
2.318 -2.573
2.261 -2.563
2.201 -2.548
2.137 -2.528
2.071 -2.503
2.001 -2.473
1.929 -2.439
1.855 -2.400
1.778 -2.356
1.700 -2.309
1.620 -2.258
1.539 -2.203
1.456 -2.144
1.373 -2.083
1.289 -2.018
1.204 -1.951
1.120 -1.881
1.035 -1.809
0.951 -1.736
0.867 -1.660
0.784 -1.583
0.702 -1.506
0.621 -1.427
0.542 -1.348
0.464 -1.268
0.387 -1.189
0.313 -1.110
0.241 -1.031
0.171 -0.953
0.103 -0.876
0.038 -0.800
-0.024 -0.726
-0.084 -0.653
-0.140 -0.582
-0.194 -0.514
-0.245 -0.447
-0.293 -0.383
-0.338 -0.321
-0.379 -0.262
-0.418 -0.205
-0.453 -0.152
-0.485 -0.101
-0.514 -0.053
-0.540 -0.008
-0.563 0.033
-0.583 0.072
-0.600 0.107
-0.614 0.140
-0.626 0.169
-0.635 0.195
-0.642 0.218
-0.646 0.239
-0.648 0.257
-0.648 0.272
-0.646 0.284
-0.642 0.294
-0.637 0.302
-0.631 0.307
-0.623 0.310
-0.614 0.312
-0.605 0.312
-0.594 0.311
-0.583 0.308
-0.572 0.304
-0.561 0.299
-0.550 0.294
-0.539 0.288
-0.529 0.282
-0.520 0.275
-0.511 0.269
-0.503 0.264
-0.496 0.258
-0.491 0.254
-0.487 0.251
-0.485 0.249
-0.485 0.248
-0.486 0.248
-0.489 0.251
-0.495 0.255
-0.503 0.261
-0.513 0.269
-0.525 0.280
-0.540 0.293
-0.558 0.309
-0.577 0.327
-0.600 0.348
-0.625 0.371
-0.652 0.397
-0.682 0.426
-0.715 0.458
-0.750 0.493
-0.787 0.530
-0.827 0.570
-0.869 0.613
-0.913 0.658
-0.959 0.706
-1.008 0.757
-1.057 0.810
-1.109 0.865
-1.162 0.922
-1.217 0.981
-1.272 1.042
-1.329 1.104
-1.387 1.168
-1.445 1.233
-1.503 1.298
-1.562 1.365
-1.621 1.432
-1.680 1.500
-1.738 1.567
-1.795 1.634
-1.852 1.701
-1.908 1.767
-1.962 1.832
-2.014 1.895
-2.065 1.958
-2.114 2.018
-2.161 2.076
-2.205 2.132
-2.247 2.185
-2.285 2.236
-2.321 2.283
-2.353 2.327
-2.382 2.367
-2.407 2.404
-2.429 2.437
-2.447 2.465
-2.460 2.489
-2.469 2.508
-2.474 2.523
-2.475 2.533
-2.471 2.537
-2.462 2.537
-2.449 2.531
-2.431 2.520
-2.408 2.504
-2.381 2.482
-2.348 2.454
-2.311 2.421
-2.269 2.383
-2.222 2.339
-2.171 2.290
-2.115 2.235
-2.054 2.175
-1.989 2.110
-1.919 2.040
-1.845 1.964
-1.767 1.884
-1.686 1.799
-1.600 1.710
-1.511 1.617
-1.418 1.519
-1.322 1.418
-1.223 1.313
-1.121 1.204
-1.016 1.093
-0.909 0.979
-0.801 0.862
-0.690 0.743
-0.577 0.622
-0.463 0.500
-0.349 0.376
-0.233 0.251
-0.117 0.126
0.000 0.000
